svyear,vsic1993,ER,XR,XSH,ESH,XRS,ERS
2000-2005,1532,1,0.617647058823529,0.284346247558307,0.574455900762801,0.245962334348881,0.536002695220706
2000-2005,1533,3.30120481927711,0.445783132530121,0.128201024817212,0.407804065048584,0.182823176463863,0.120635965171822
2000-2005,1541,3.33333333333333,0.454545454545455,0.350283854661175,0.614835151647298,0.646960412803354,0.30474644911639
2000-2005,1542,0.111675126903553,0.83756345177665,0.347416405818363,0.368551219186135,0.103247657142699,0.663249682865509
2000-2005,1543,2.7037037037037,0.407407407407407,0.041191925879676,0.152803009420828,0.0624895953313979,0.0370608949243916
2000-2005,1544,1.29411764705882,0.529411764705882,0.199178046930088,0.21862650980923,0.221081792460913,0.0953855814707704
2000-2005,1549,3.81592039800995,0.497512437810945,0.623500554365433,0.577568880882757,1.67260687156579,0.557952021585713
2000-2005,1551,2.22727272727273,0.409090909090909,0.0886977707394323,0.1456297985622,0.140588926555283,0.041743544430966
2000-2005,1552,3.5,0.666666666666667,0.874132215012326,0.990521049969086,3.47242233228276,9.95208728652751
2000-2005,1553,0.722222222222222,0.54320987654321,0.253407626316046,0.246489447396383,0.28542051082491,0.187325945504602
2000-2005,1554,0.92022792022792,0.586894586894587,0.335309284137625,0.300744032975123,0.355080438527502,0.0772300488395771
2000-2005,1600,0.576923076923077,0.538461538461538,0.390819509706785,0.507339562760525,0.549899670976012,0.892489541456846
2000-2005,1711,1.75418994413408,0.446927374301676,0.149946487077102,0.38489938294362,0.218290701628739,0.195297857882365
2000-2005,1712,4.03846153846154,0.307692307692308,0.298703707520145,0.410754797701992,0.958344353345676,0.132778355735385
2000-2005,1721,1.97826086956522,0.478260869565217,0.414174277190326,0.426772952910913,0.771264331037951,0.21271698539404
2000-2005,1722,0.563636363636364,0.690909090909091,0.370055347302806,0.602930066597706,0.262802574346985,0.636768537634723
2000-2005,1723,1.26086956521739,0.565217391304348,0.116590677765229,0.219315313760597,0.101521610068146,0.0871842043731023
2000-2005,1729,2.48076923076923,0.557692307692308,0.470001696541706,0.44782962607571,0.703322942338559,0.17603865451894
2000-2005,1730,2.07936507936508,0.428571428571429,0.173406529489969,0.693302512093369,0.279712717599817,0.638473657254333
2000-2005,1810,2.41138211382114,0.507317073170732,0.404277855415347,0.633269226445266,0.659058921630622,0.343496166451126
2000-2005,1820,1.25,0.375,0.354928554129329,0.669061626299508,0.917026468931857,0.202171062490634
2000-2005,1911,5.25,0.25,0.346220451987185,0.931402617782579,1.58870273491822,2.58625062210786
2000-2005,1912,2.36507936507937,0.476190476190476,0.14100757161102,0.647526940665446,0.180570076808504,0.419203174465882
2000-2005,1920,1.36764705882353,0.426470588235294,0.199804238454932,0.341940680162338,0.335795644801251,0.214180221839437
2000-2005,2010,1.35202492211838,0.576323987538941,0.259060767690273,0.698352267052897,0.257031432753976,0.592117273793095
2000-2005,2021,3.26666666666667,0.533333333333333,0.512854699045906,0.762498457638087,0.921178672536257,0.873605162491085
2000-2005,2022,1.68,0.53,0.459610715786707,0.621327520036792,0.754232783488467,0.263700727834892
2000-2005,2023,2.15384615384615,0.538461538461538,0.047445366402237,0.689353776853777,0.0426930440331844,0.634027415377629
2000-2005,2029,1.73011363636364,0.559659090909091,0.505405210770182,0.578372564590223,0.803999263026363,0.342377421066292
2000-2005,2101,2.4,0.5,0.0823626620483076,0.2404584329515,0.0897551338006295,0.130590750915624
2000-2005,2102,2.53383458646617,0.496240601503759,0.31461637811176,0.514106553762088,0.465992011965109,0.270010497657302
2000-2005,2109,1.07027027027027,0.508108108108108,0.817268857158023,0.506007301445696,4.32978088036984,0.196586938800662
2000-2005,2211,1.4,0.1,0.33662307594204,0.12071088453368,4.56694764862467,0.0980588282791071
2000-2005,2212,0.607142857142857,0.25,0.0637042410660069,0.255147300808669,0.204115762967472,0.463446383028684
